Close Date,Corn ZCH18,Soybeans ZSH18,Ethanol ZKH18,"Bismarck, ND HI-Temp","Mpls, MN HI-Temp","Madison, WI HI-Temp"
10/2/2017,3.6425,9.77,1.453,61,71,80
10/3/2017,3.6225,9.755,1.452,55,72,79
10/4/2017,3.6125,9.7825,1.437,61,60,70
10/5/2017,3.625,9.88,1.44,64,65,66
10/6/2017,3.6325,9.9225,1.427,71,60,67
10/9/2017,3.6275,9.8675,1.429,61,57,70
10/10/2017,3.6275,9.8575,1.434,61,52,57
10/11/2017,3.595,9.855,1.437,60,56,59
10/12/2017,3.6275,10.12,1.438,60,64,58
10/13/2017,3.665,10.1925,1.442,59,61,61
10/16/2017,3.6425,10.1075,1.434,58,66,60
10/17/2017,3.6375,10.05,1.439,57,73,70
10/18/2017,3.6225,10.0475,1.425,57,73,71
10/19/2017,3.6275,10.07,1.414,56,74,68
10/20/2017,3.585,9.9925,1.412,56,78,76
10/23/2017,3.6525,10.01,1.432,54,61,57
10/24/2017,3.6675,9.96,1.433,53,51,47
10/25/2017,3.6525,9.9675,1.421,53,58,52
10/26/2017,3.645,9.93,1.428,52,58,60
10/27/2017,3.625,9.9675,1.431,52,36,43
10/30/2017,3.6275,9.95,1.442,35,40,42
10/31/2017,3.595,9.95,1.447,43,35,37
11/1/2017,3.6175,10.015,1.456,39,37,43
11/2/2017,3.64,10.095,1.437,36,40,50
11/3/2017,3.62,9.9725,1.45,30,35,44
11/6/2017,3.615,10.0425,1.457,26,33,40
11/7/2017,3.61,10.065,1.453,36,36,42
11/8/2017,3.6125,10.095,1.443,26,42,44
11/9/2017,3.5475,9.96,1.45,21,30,41
11/10/2017,3.5675,9.98,1.462,37,26,28
11/13/2017,3.55,9.855,1.447,52,46,42
11/14/2017,3.505,9.7875,1.429,56,45,46
11/15/2017,3.51,9.8725,1.425,31,46,50
11/16/2017,3.49,9.8325,1.417,43,34,37
11/17/2017,3.55,10.015,1.435,39,39,40
11/20/2017,3.565,10.0125,1.428,60,48,50
11/21/2017,3.645,10.0025,1.422,25,42,47
11/22/2017,3.57,10.085,1.431,63,33,32
11/23/2017,3.57,10.085,1.431,74,49,44
11/24/2017,3.55,10.0475,1.41,56,60,64
11/27/2017,3.5175,10.0775,1.415,67,60,55
11/28/2017,3.4975,10.0475,1.396,50,53,58
11/29/2017,3.535,10.0425,1.391,57,46,43
11/30/2017,3.5575,9.9775,1.396,52,48,51
12/1/2017,3.5875,10.06,1.4,56,51,47
12/4/2017,3.535,10.1025,1.398,33,57,61
12/5/2017,3.5375,10.205,1.397,33,27,39
12/6/2017,3.5275,10.1475,1.362,31,20,31
